transaction_id,amount,hour,is_foreign,is_new_device,transactions_today,account_age_days,is_fraud
88,264,14,0,0,1,2135,0
89,2618,3,1,1,8,29,1
90,456,20,0,0,1,2874,0
91,418,16,0,0,4,2328,0
92,358,20,0,0,4,452,0
93,181,8,0,0,2,2082,0
94,113,9,0,1,3,739,0
95,4925,1,1,1,19,18,1
96,267,14,0,0,3,2212,0
97,224,10,0,1,2,2716,0
98,10,11,0,0,4,887,0
99,333,12,0,0,4,472,0
100,50,19,0,0,2,1534,0
101,328,10,0,0,1,2360,0
102,428,18,0,0,1,762,0
103,45,12,0,0,1,473,0
104,90,17,0,0,4,916,0
105,126,9,0,0,3,37,0
106,161,18,1,0,2,874,0
107,2154,1,1,1,9,13,1
108,424,8,0,1,3,2065,0
109,3761,3,1,1,10,13,1
110,187,20,1,0,3,1422,0
111,63,10,0,0,1,2752,0
112,312,14,0,0,2,2289,0
113,71,10,0,0,2,1424,0
114,107,9,0,0,3,714,0
115,85,15,0,0,3,93,0
116,4122,1,1,1,13,8,1
117,174,21,0,0,2,178,0
118,302,11,0,0,2,2933,0
119,378,19,0,1,1,450,0
120,397,16,0,0,3,239,0
121,297,18,0,0,3,404,0
122,56,14,0,0,2,2188,0
123,4090,2,1,1,19,8,1
124,2064,2,1,1,8,27,1
125,137,21,0,0,2,174,0
126,2976,4,1,1,18,11,1
127,208,19,0,0,3,2934,0
128,354,13,0,0,4,1720,0
129,53,14,0,0,4,173,0
130,229,10,0,0,2,2995,0
131,139,10,0,0,4,2803,0
132,2813,1,1,1,14,12,1
133,153,9,0,0,1,2794,0
134,130,12,1,0,2,2929,0
135,2930,3,0,1,15,27,1
136,163,14,0,0,4,2242,0
137,48,12,0,1,3,2611,0
138,27,17,0,1,4,637,0
139,478,19,0,0,4,2697,0
140,417,21,0,0,4,2743,0
141,1935,0,1,1,19,5,1
142,95,13,0,1,3,2358,0
143,203,15,0,1,3,585,0
144,462,15,1,0,3,500,0
145,242,10,0,0,4,89,0
146,331,19,1,1,4,635,0
147,323,14,0,0,4,2608,0
148,25,18,0,1,3,1863,0
149,67,8,0,0,4,405,0
150,232,17,0,0,3,1255,0
151,764,0,1,1,17,9,1
152,473,12,0,0,2,2970,0
153,366,8,0,0,1,685,0
154,75,9,0,0,2,2826,0
155,145,14,0,0,3,971,0
156,286,20,0,0,3,1441,0
157,317,19,1,0,4,1641,0
158,451,11,0,1,2,2866,0
159,2402,0,0,1,15,21,1
160,404,17,0,0,3,873,0
161,904,0,0,0,16,3,1
162,382,14,0,0,4,440,0
163,4336,3,1,1,9,21,1
164,90,9,0,0,2,120,0
165,425,21,0,1,3,2626,0
166,83,20,0,0,3,1453,0
167,53,18,0,0,3,2738,0
168,182,18,0,0,4,2786,0
169,183,10,0,0,4,2044,0
170,469,17,0,1,3,2324,0
171,28,18,0,1,3,551,0
172,406,8,0,0,4,1474,0
173,452,15,0,0,3,644,0
174,264,10,0,0,3,1567,0
175,180,16,0,0,2,2447,0
176,14,13,0,0,4,270,0
177,402,18,0,0,3,1281,0
178,2214,5,0,1,11,17,1
179,63,15,0,0,2,527,0
180,478,15,0,0,3,1781,0
181,286,11,1,0,2,2567,0
182,203,13,0,0,2,1609,0
183,293,20,0,0,2,2731,0
184,4557,5,0,0,13,4,1
185,132,20,0,0,1,1624,0
186,15,15,0,0,1,2695,0
187,395,21,0,0,2,755,0
188,330,8,0,1,3,2932,0
189,273,15,0,0,2,1773,0
190,48,15,0,0,2,1568,0
191,431,12,0,0,3,585,0
192,52,21,0,1,3,1917,0
193,476,17,1,0,4,2073,0
194,373,8,0,1,2,1163,0
195,311,15,0,1,4,2649,0
196,152,19,0,0,3,501,0
197,338,13,0,0,3,305,0
198,23,14,0,0,3,1096,0
199,320,18,0,0,1,2435,0
200,229,20,0,0,3,901,0
201,155,15,0,0,3,224,0
202,152,15,0,0,4,2288,0
203,232,10,0,0,3,1903,0
204,262,10,0,0,3,749,0
205,182,10,0,0,1,2265,0
206,295,12,0,1,3,181,0
207,493,8,0,0,4,703,0
208,99,11,0,1,2,1234,0
209,124,17,0,0,2,2788,0
210,1389,1,1,1,8,3,1
211,1349,1,1,1,17,15,1
212,62,17,0,0,4,1181,0
213,185,13,0,1,1,1103,0
214,236,10,0,1,1,1962,0
215,195,21,0,0,1,1937,0
216,396,15,1,1,2,2702,0
217,78,8,0,0,3,253,0
218,243,16,0,0,4,1486,0
219,426,10,1,0,3,1392,0
220,69,11,0,0,1,1384,0
221,2556,4,1,1,13,23,1
222,295,8,0,0,4,2084,0
223,2372,2,1,1,8,1,1
224,226,14,0,1,3,2411,0
225,212,18,0,0,4,899,0
226,45,16,0,0,2,1122,0
227,274,12,0,0,2,1488,0
228,59,8,0,0,3,751,0
229,292,16,0,0,4,2428,0
230,460,10,0,0,4,647,0
231,48,18,1,0,1,1666,0
232,336,8,1,0,3,1321,0
233,3877,4,1,0,19,2,1
234,109,13,0,0,3,721,0
235,298,15,0,0,1,2506,0
236,349,21,0,0,2,2648,0
237,392,12,0,0,3,595,0
238,134,15,0,0,2,1512,0
239,1589,2,1,0,16,19,1
240,199,16,0,0,4,2016,0
241,433,12,0,0,1,307,0
242,401,12,0,0,4,1925,0
243,437,10,0,0,2,810,0
244,370,13,0,0,1,1397,0
245,401,17,0,0,3,2493,0
246,159,8,1,0,1,1576,0
247,169,11,0,0,1,519,0
248,233,9,0,0,1,2512,0
249,98,21,0,0,3,2003,0
250,298,16,0,1,1,1778,0
251,205,9,0,0,3,1161,0
252,84,8,0,0,1,436,0
253,242,17,0,0,1,1292,0
254,172,20,0,0,2,2583,0
255,53,14,1,0,4,2208,0
256,1801,5,1,1,19,19,1
257,357,9,0,0,2,2541,0
258,417,12,0,0,3,870,0
259,122,13,0,0,3,904,0
260,2319,0,1,1,15,13,1
261,183,21,0,0,4,476,0
262,69,12,0,0,3,2679,0
263,4293,2,1,0,19,21,1
264,287,8,0,0,1,257,0
265,289,17,0,0,4,2726,0
266,232,11,1,0,4,1724,0
267,453,14,0,0,4,2921,0
268,379,21,0,0,2,2375,0
269,153,9,0,0,3,166,0
270,108,16,0,0,2,2740,0
271,126,19,1,0,3,2089,0
272,109,10,0,0,3,2582,0
273,247,9,0,0,3,74,0
274,336,17,0,0,2,1944,0
275,207,17,0,0,2,340,0
276,68,8,0,0,1,416,0
277,170,17,1,0,1,2789,0
278,146,21,1,0,1,1631,0
279,447,11,1,0,2,216,0
280,148,8,0,0,2,2350,0
281,4774,1,1,1,17,20,1
282,485,8,1,0,2,1908,0
283,280,10,0,0,1,1642,0
284,145,18,0,0,4,2186,0
285,105,10,0,0,3,749,0
286,3075,0,1,1,11,4,1
287,109,12,0,0,3,1062,0
288,261,15,0,0,4,1408,0
289,405,15,0,0,2,2994,0
290,3688,2,1,1,12,2,1
291,313,11,0,0,3,165,0
292,3028,2,1,1,8,21,1
293,106,19,0,0,4,2935,0
294,2369,4,1,1,15,10,1
295,493,16,0,1,1,1520,0
296,293,15,0,0,3,952,0
297,136,12,0,0,3,838,0
298,2839,2,1,1,18,20,1
299,244,16,0,0,2,177,0
300,2137,2,1,1,19,8,1
301,284,15,0,0,1,505,0
302,324,21,0,0,2,377,0
303,199,18,0,0,3,489,0
304,3397,0,1,1,17,29,1
305,485,14,0,0,3,609,0
306,150,17,0,1,2,866,0
307,469,9,0,0,4,1832,0
308,251,9,0,0,3,2026,0
309,274,11,0,0,2,1381,0
310,239,16,0,0,1,1808,0
311,54,13,0,0,4,2879,0
312,340,8,1,0,1,1125,0
313,459,21,1,0,3,2926,0
314,1950,3,1,1,13,14,1
315,303,8,0,0,1,389,0
316,144,18,0,0,1,1973,0
317,93,21,0,0,2,1527,0
318,770,2,1,1,16,11,1
319,294,8,0,1,3,45,0
320,2145,1,1,1,17,16,1
321,226,17,0,0,2,224,0
322,1429,2,1,0,11,18,1
323,380,9,0,0,4,524,0
324,10,20,0,0,1,549,0
325,534,0,1,0,16,4,1
326,381,8,0,1,3,1911,0
327,417,16,0,0,1,2771,0
328,11,17,0,0,3,768,0
329,321,16,0,0,1,2382,0
330,268,13,0,0,1,1741,0
331,286,13,0,0,4,1728,0
332,358,13,0,0,4,1008,0
333,198,12,0,0,2,1911,0
334,133,9,0,0,2,2012,0
335,1949,3,1,1,17,23,1
336,167,15,0,0,1,2448,0
337,385,9,0,0,3,2570,0
338,293,8,0,0,1,2587,0
339,3767,4,1,1,13,26,1
340,201,19,0,0,4,435,0
341,2189,5,0,1,17,20,1
342,169,16,0,0,2,192,0
343,402,19,0,1,3,1390,0
344,382,13,0,1,1,2202,0
345,294,12,0,0,4,860,0
346,55,13,1,0,3,1031,0
347,105,12,0,0,2,1790,0
348,456,13,0,0,3,1990,0
349,2381,5,1,0,10,16,1
350,454,8,0,0,4,2828,0
351,242,9,0,0,2,2955,0
352,256,13,1,1,2,2133,0
353,303,15,0,0,3,2815,0
354,138,19,1,1,1,790,0
355,101,8,0,0,3,2149,0
356,184,8,0,0,1,337,0
357,261,18,0,0,4,2534,0
358,471,11,1,1,1,594,0
359,432,18,1,0,2,2283,0
360,494,14,0,0,1,412,0
361,330,13,0,0,4,1780,0
362,450,15,0,1,1,1303,0
363,261,12,0,0,3,1318,0
364,468,17,0,0,2,240,0
365,1343,4,1,1,10,26,1
366,2895,2,1,1,10,6,1
367,101,19,0,0,2,1829,0
368,426,17,0,0,2,2436,0
369,192,20,0,0,3,1299,0
370,400,20,0,0,2,1671,0
371,62,8,0,0,2,2131,0
372,2271,0,1,1,14,12,1
373,1978,3,1,1,12,26,1
374,63,8,0,0,1,2335,0
375,112,19,0,0,3,1808,0
376,47,20,0,1,1,492,0
377,3060,0,1,0,12,3,1
378,157,12,0,0,1,2620,0
379,367,17,0,0,2,2516,0
380,268,8,0,0,2,761,0
381,172,17,0,0,3,2806,0
382,4362,5,1,1,10,5,1
383,480,18,0,0,1,1639,0
384,154,8,0,1,2,2845,0
385,114,20,0,1,1,1439,0
386,29,18,0,0,2,1139,0
387,176,9,0,0,4,2577,0
388,429,12,0,0,3,41,0
389,486,12,1,0,4,2858,0
390,182,18,0,0,2,1994,0
391,358,16,0,0,4,1489,0
392,121,10,0,0,3,2067,0
393,99,18,0,0,2,2979,0
394,234,13,0,0,4,374,0
395,384,17,0,1,4,1181,0
396,1424,4,1,1,9,16,1
397,462,21,0,0,4,458,0
398,247,13,0,0,3,1986,0
399,187,16,0,0,1,2518,0
400,469,18,0,0,3,2445,0
401,137,15,0,0,3,1943,0
402,2090,3,1,1,10,15,1
403,51,17,0,0,4,2160,0
404,3596,4,1,1,17,8,1
405,235,12,0,0,3,1243,0
406,305,16,0,0,2,446,0
407,161,21,0,1,4,1045,0
408,207,11,0,0,3,2445,0
409,102,13,0,0,4,1401,0
410,471,10,0,1,1,1217,0
411,136,21,0,0,4,46,0
412,369,20,0,1,3,2453,0
413,395,16,0,1,1,936,0
414,61,13,0,0,2,1013,0
415,290,8,0,0,4,486,0
416,32,14,0,0,2,1603,0
417,450,8,0,0,2,434,0
418,345,9,0,0,3,647,0
419,280,12,0,0,2,1629,0
420,242,18,0,0,3,2959,0
421,389,13,0,1,4,1239,0
422,90,21,1,0,4,1534,0
423,919,1,1,1,13,24,1
424,99,16,0,0,4,937,0
425,129,15,0,0,4,856,0
426,215,11,1,0,3,1754,0
427,412,17,0,0,2,607,0
428,432,17,0,0,4,2131,0
429,196,13,0,0,1,230,0
430,286,14,0,0,3,2499,0
431,199,12,0,0,2,2176,0
432,458,21,0,0,1,697,0
433,181,14,0,0,3,657,0
434,249,19,0,0,2,1655,0
435,58,11,0,0,2,1610,0
436,108,16,0,0,1,1261,0
437,347,16,1,1,1,2188,0
438,62,11,0,0,3,221,0
439,470,16,0,0,1,1923,0
440,171,18,0,0,2,1677,0
441,490,15,0,0,4,2427,0
442,3602,2,1,0,19,13,1
443,383,16,0,0,2,328,0
444,71,19,0,0,2,2239,0
445,456,15,0,0,4,405,0
446,496,9,0,0,4,2058,0
447,131,9,0,0,4,1409,0
448,377,17,0,0,2,2089,0
449,332,8,0,0,3,1937,0
450,23,10,0,0,2,940,0
451,48,10,0,0,4,2069,0
452,46,15,0,0,3,583,0
453,359,20,0,0,3,2733,0
454,1709,4,1,1,17,5,1
455,723,1,1,1,14,11,1
456,381,15,0,0,3,2107,0
457,105,15,0,0,2,1818,0
458,91,21,0,0,3,1322,0
459,4886,3,1,1,19,12,1
460,196,11,0,0,3,989,0
461,152,8,0,0,2,747,0
462,455,13,0,0,3,1058,0
463,162,10,0,0,1,1302,0
464,470,12,0,0,3,1524,0
465,248,8,0,0,4,692,0
466,63,16,0,0,3,1265,0
467,427,17,0,1,4,2695,0
468,479,14,0,0,4,2185,0
469,3822,2,1,1,9,8,1
470,2681,0,1,1,16,16,1
471,464,18,0,1,2,2067,0
472,450,20,0,0,4,2517,0
473,1516,2,1,1,12,16,1
474,161,10,0,0,1,1522,0
475,351,9,0,0,2,617,0
476,402,13,0,0,4,1116,0
477,349,15,0,0,4,357,0
478,411,20,1,1,2,2034,0
479,67,20,0,1,3,2482,0
480,31,13,0,1,3,1883,0
481,135,17,0,0,2,2149,0
482,167,20,0,0,4,1953,0
483,26,18,0,0,2,991,0
484,44,18,0,0,2,2236,0
485,327,18,0,0,2,1355,0
486,336,11,0,0,4,2989,0
487,317,15,0,0,2,460,0
488,443,19,0,0,3,2394,0
489,67,21,0,0,2,2780,0
490,156,9,0,0,4,684,0
491,18,16,0,0,3,152,0
492,273,8,0,0,2,1550,0
493,369,17,0,0,1,942,0
494,162,14,0,0,4,145,0
495,429,15,0,1,3,2835,0
496,389,21,0,0,4,687,0
497,4399,2,1,0,9,27,1
498,201,14,0,0,3,1434,0
499,3153,4,1,0,17,10,1
500,4456,1,1,1,18,12,1
501,475,17,1,0,1,327,0
502,293,20,0,1,3,1337,0
503,110,8,0,0,4,2198,0
504,1658,5,1,1,15,5,1
505,1361,2,1,1,17,26,1
506,355,21,0,0,1,558,0
507,240,17,0,0,1,2537,0
508,104,9,0,1,2,2250,0
509,238,9,0,0,1,604,0
510,81,14,0,0,2,2265,0
511,210,15,0,0,2,2021,0
512,451,9,0,0,1,307,0
513,407,20,0,0,1,1665,0
514,2538,0,1,1,14,19,1
515,1192,5,1,1,18,5,1
516,4485,0,1,1,18,18,1
517,280,13,0,0,1,2791,0
518,351,15,0,0,2,1078,0
519,57,10,0,0,3,659,0
520,397,9,0,0,4,366,0
521,394,11,0,0,3,1038,0
522,518,0,1,1,12,25,1
523,368,14,0,0,1,2260,0
524,137,17,0,1,1,2007,0
525,240,13,0,1,3,371,0
526,528,1,1,1,18,1,1
527,170,13,1,0,4,35,0
528,419,10,1,1,1,1896,0
529,142,16,0,0,4,469,0
530,472,10,0,0,1,2523,0
531,2223,1,1,0,19,22,1
532,131,17,0,1,2,339,0
533,181,21,0,0,4,2660,0
534,357,14,0,1,1,1611,0
535,358,13,0,0,2,555,0
536,19,12,0,0,4,1533,0
537,289,17,0,0,1,2810,0
538,1951,0,1,1,14,12,1
539,499,16,0,0,4,419,0
540,426,16,0,0,1,1933,0
541,979,5,1,1,9,10,1
542,195,11,0,0,1,2125,0
543,292,21,0,0,3,1006,0
544,2017,0,1,1,14,22,1
545,3146,3,1,1,13,1,1
546,284,9,0,1,1,620,0
547,4541,5,1,1,18,22,1
548,30,12,0,0,4,299,0
549,153,10,1,0,4,268,0
550,79,21,0,0,3,1298,0
551,263,21,1,0,2,525,0
552,498,9,0,0,4,926,0
553,224,16,0,0,3,1463,0
554,174,10,0,0,3,2572,0
555,122,19,0,0,2,1004,0
556,158,8,0,0,3,1674,0
557,374,18,0,0,3,401,0
558,3840,3,1,1,17,25,1
559,242,14,0,1,4,2002,0
560,151,9,1,0,3,2047,0
561,451,18,0,0,4,2776,0
562,201,13,0,0,3,2107,0
563,1007,4,0,1,15,26,1
564,1338,5,1,1,12,4,1
565,462,10,0,0,2,800,0
566,363,18,0,0,2,1367,0
567,380,15,0,0,3,630,0
568,234,20,0,0,1,134,0
569,4215,4,1,1,9,10,1
570,71,9,0,0,1,1632,0
571,44,20,0,0,3,1526,0
572,144,18,0,0,2,522,0
573,327,8,0,0,3,170,0
574,273,13,0,1,2,2684,0
575,483,13,0,0,4,921,0
576,145,17,0,0,2,168,0
577,78,9,0,1,1,900,0
578,393,20,0,0,4,2121,0
579,260,21,0,0,2,1687,0
580,486,12,0,0,1,1446,0
581,378,15,0,0,4,2135,0
582,255,14,0,0,2,1002,0
583,123,12,0,0,3,2487,0
584,272,12,0,0,3,2085,0
585,482,10,0,0,3,1441,0
586,112,12,0,1,1,1282,0
587,46,11,0,1,1,2851,0
588,3587,1,1,1,11,7,1
589,265,15,0,0,3,1671,0
590,348,14,0,0,1,556,0
591,282,17,1,0,1,1606,0
592,14,15,0,0,3,322,0
593,229,17,0,0,1,905,0
594,24,20,0,0,4,982,0
595,357,9,0,0,4,456,0
596,101,18,0,1,2,1046,0
597,269,9,0,0,1,2315,0
598,3436,1,1,0,8,3,1
599,355,9,0,0,1,1547,0
600,4550,0,0,1,11,23,1
601,474,20,0,0,1,1612,0
602,324,15,0,0,3,2074,0
603,62,13,0,0,1,1784,0
604,353,16,0,0,3,2184,0
605,289,13,0,0,2,1753,0
606,1056,2,1,1,15,27,1
607,361,21,0,0,1,1617,0
608,1001,2,0,1,16,14,1
609,282,13,0,0,2,1246,0
610,13,11,1,0,3,2666,0
611,21,19,0,0,4,2829,0
612,164,12,0,0,1,1008,0
613,485,10,0,1,3,1479,0
614,418,9,0,0,1,289,0
615,44,14,0,0,4,900,0
616,453,15,0,1,1,2685,0
617,325,16,0,0,4,743,0
618,231,8,0,0,2,2893,0
619,1453,5,0,1,12,21,1
620,471,17,0,0,4,2261,0
621,3154,5,1,1,12,25,1
622,227,10,0,0,3,2254,0
623,322,11,0,0,3,154,0
624,251,12,0,1,4,395,0
625,262,15,0,0,3,916,0
626,351,14,0,0,4,988,0
627,376,21,0,0,2,344,0
628,276,12,0,0,3,1107,0
629,355,9,0,0,1,1940,0
630,125,13,0,1,1,169,0
631,143,15,0,0,1,2997,0
632,210,16,0,1,1,296,0
633,138,19,1,0,4,912,0
634,4036,4,1,1,13,5,1
635,236,17,0,0,1,1649,0
636,50,21,0,0,1,357,0
637,188,10,0,0,3,1408,0
638,485,19,0,0,2,728,0
639,261,11,0,0,4,2461,0
640,191,14,0,0,2,2267,0
641,56,21,0,0,4,2339,0
642,259,17,0,0,3,2659,0
643,743,4,1,1,17,23,1
644,3596,1,1,1,15,2,1
645,67,13,0,0,4,1059,0
646,125,19,1,0,1,2005,0
647,423,8,0,0,4,2835,0
648,156,19,0,0,2,2715,0
649,172,9,0,0,4,1906,0
650,295,8,0,1,3,1336,0
651,108,14,0,0,4,651,0
652,313,15,0,0,1,298,0
653,310,14,0,0,4,876,0
654,2235,4,1,1,18,24,1
655,263,12,0,0,1,1501,0
656,382,15,0,0,4,1178,0
657,395,21,0,0,1,2147,0
658,406,19,0,0,4,1911,0
659,186,20,0,0,2,950,0
660,13,18,0,0,3,200,0
661,319,17,0,0,4,2964,0
662,199,13,0,0,1,1414,0
663,368,14,0,0,4,337,0
664,161,10,0,1,3,249,0
665,221,21,0,0,1,1974,0
666,410,15,0,0,4,994,0
667,405,10,1,0,2,282,0
668,283,9,0,0,2,2794,0
669,122,15,0,0,2,690,0
670,3638,0,0,1,18,23,1
671,494,13,0,0,1,2016,0
672,301,19,0,0,1,894,0
673,140,14,0,0,1,2492,0
674,169,9,0,0,2,1728,0
675,1711,0,1,1,19,19,1
676,251,16,0,0,3,537,0
677,422,13,0,0,2,1224,0
678,131,21,0,0,1,1853,0
679,314,13,1,1,3,2980,0
680,426,14,0,0,3,735,0
681,156,12,0,0,2,2265,0
682,108,17,0,0,1,1511,0
683,347,10,0,0,2,2461,0
684,349,12,0,0,1,1212,0
685,63,13,1,0,2,1079,0
686,459,21,0,1,1,1128,0
687,125,14,1,0,2,2647,0
688,410,8,0,1,1,2458,0
689,453,14,0,1,4,1164,0
690,3170,4,1,0,16,12,1
691,67,17,0,0,2,1300,0
692,113,14,1,0,1,2227,0
693,237,12,0,0,3,1496,0
694,78,15,0,0,2,224,0
695,347,20,0,1,4,1747,0
696,452,17,0,0,2,2432,0
697,299,14,0,0,2,119,0
698,127,17,0,0,4,2873,0
699,115,12,1,0,2,1786,0
700,2014,3,1,1,16,26,1
701,483,11,0,0,4,2531,0
702,200,10,0,0,4,2270,0
703,165,18,0,0,2,1095,0
704,485,11,0,0,1,536,0
705,224,10,0,0,2,1604,0
706,172,11,0,1,4,48,0
707,378,12,0,0,1,365,0
708,490,11,0,1,1,839,0
709,197,12,0,0,4,1230,0
710,110,9,0,0,1,302,0
711,469,9,0,0,1,1118,0
712,133,20,1,0,1,105,0
713,110,10,0,0,4,1356,0
714,340,16,0,0,3,2371,0
715,374,20,0,0,3,2075,0
716,426,21,1,0,4,159,0
717,323,8,0,0,3,1650,0
718,3865,4,0,1,9,26,1
719,484,12,0,1,1,2555,0
720,74,17,0,0,1,1191,0
721,3145,4,1,1,18,21,1
722,3279,0,0,1,15,4,1
723,1936,5,1,1,9,26,1
724,3926,4,1,0,10,1,1
725,189,11,1,0,4,977,0
726,369,9,0,0,2,2462,0
727,382,16,0,1,3,2563,0
728,450,15,0,0,4,1529,0
729,156,8,1,1,4,1300,0
730,497,9,1,0,3,105,0
731,4235,1,1,1,12,2,1
732,160,11,0,1,4,2391,0
733,340,11,0,0,2,1248,0
734,216,19,0,0,4,1300,0
735,455,10,0,0,1,2926,0
736,29,18,0,0,2,1309,0
737,267,21,0,1,3,1696,0
738,313,18,0,0,4,878,0
739,186,19,0,0,3,1149,0
740,3656,4,1,1,8,9,1
741,4378,5,1,1,19,28,1
742,281,14,0,0,2,999,0
743,890,5,1,1,15,1,1
744,482,15,0,0,1,1388,0
745,36,15,0,0,4,1965,0
746,206,9,0,0,3,147,0
747,117,10,0,0,2,1126,0
748,169,16,0,0,1,396,0
749,314,19,1,0,2,2954,0
750,465,10,0,0,2,1260,0
751,200,9,0,0,3,1224,0
752,382,20,0,0,3,2704,0
753,355,16,0,0,2,2063,0
754,212,19,0,1,1,272,0
755,139,8,0,0,3,602,0
756,406,9,0,0,2,2500,0
757,397,8,0,0,4,900,0
758,295,11,0,0,2,458,0
759,51,8,0,0,4,1738,0
760,42,8,0,1,1,1286,0
761,464,17,0,0,3,2776,0
762,2655,3,0,0,11,18,1
763,154,21,0,0,4,2719,0
764,201,12,0,0,3,2278,0
765,44,20,0,0,1,2081,0
766,240,12,0,0,3,2072,0
767,196,18,0,0,2,559,0
768,242,13,0,0,2,116,0
769,289,15,0,0,2,864,0
770,4417,2,1,1,17,28,1
771,117,13,0,0,3,813,0
772,289,17,0,0,2,2816,0
773,213,21,0,0,4,2111,0
774,4586,0,1,1,12,21,1
775,364,17,0,0,2,2831,0
776,315,11,0,0,4,2190,0
777,103,15,0,0,3,979,0
778,445,13,0,0,2,2923,0
779,1692,4,0,0,17,2,1
780,355,15,0,0,3,2368,0
781,310,13,0,0,4,2981,0
782,62,20,0,1,1,1097,0
783,480,11,0,0,4,2083,0
784,160,16,0,0,3,1045,0
785,114,16,1,0,1,2156,0
786,144,19,0,0,2,554,0
787,135,17,0,1,4,2881,0
788,388,12,0,0,2,1922,0
789,374,16,0,0,3,2600,0
790,189,20,0,0,2,417,0
791,411,17,0,0,3,2129,0
792,281,14,1,0,4,809,0
793,465,15,1,0,3,2556,0
794,455,10,0,0,3,1840,0
795,413,15,0,1,2,1298,0
796,122,21,0,0,2,500,0
797,299,10,0,0,2,1341,0
798,455,16,0,0,1,1308,0
799,153,19,1,0,3,1838,0
800,215,18,1,0,4,1439,0
801,416,13,0,1,4,2524,0
802,360,14,0,0,2,172,0
803,116,12,0,0,1,1046,0
804,256,14,0,0,2,490,0
805,426,20,0,1,4,2577,0
806,253,9,0,0,3,754,0
807,304,8,0,0,2,2967,0
808,3756,5,1,1,8,28,1
809,156,17,0,0,4,821,0
810,14,8,0,0,1,1491,0
811,108,14,0,0,2,309,0
812,454,12,0,0,4,112,0
813,177,15,0,1,4,2271,0
814,207,12,0,0,2,2041,0
815,443,13,0,1,3,1262,0
816,326,17,0,1,4,1988,0
817,335,8,0,0,1,1498,0
818,210,20,0,0,4,221,0
819,166,17,0,0,2,1046,0
820,654,5,1,1,12,22,1
821,278,21,0,0,4,2381,0
822,21,10,0,1,2,274,0
823,334,12,0,0,4,1855,0
824,373,12,0,0,4,2364,0
825,173,13,0,0,3,2958,0
826,407,20,0,0,1,2716,0
827,378,12,0,0,1,1706,0
828,3940,4,0,0,13,28,1
829,388,17,0,1,4,453,0
830,262,19,0,0,3,2571,0
831,334,14,0,0,1,177,0
832,178,11,0,0,4,1033,0
833,4556,4,1,1,13,9,1
